id,coord,label,Tipo,Web,Email,Address,Proyect,Postal Code,City,Province,Country,Picture,Pictures,Video,Description,Awards
1,"37.9745085,-1.1208299",C.F.I. Gabriel Pérez Cárcel,Hospital,http://www.gabrielperezcarcel.es/,,"Calle Pintor Saura Pacheco, 10 3","Grupo de Trabajo sobre el ""Dolor en las personas con TEA""",30011,Murcia,Murcia,España,,,,,
2,"38.0021449,-1.1201253",CEE Las Boqueras,Hospital,https://www.murciaeduca.es/ceeparaninosautistas/sitio/,,"Camino Viejo de Monteagudo, 22","Grupo de Trabajo sobre el ""Dolor en las personas con TEA""",30007,Murcia,Murcia,España,,,,,
3,"37.9789576,-1.1122792",CEE Santísimo Cristo de la Misericordia,Hospital,https://www.murciaeduca.es/ceestmocristodelamisericordia/sitio/,,"Calle Colegio de Procuradores de Murcia, 8","Grupo de Trabajo sobre el ""Dolor en las personas con TEA""",30011,Murcia,Murcia,España,,,,,
4,"37.9330413,-1.1620243",Hospital Clínico Universitario Virgen de la Arrixaca,Hospital,https://www.murciasalud.es/seccion.php?idsec=347,,"Ctra. Madrid-Cartagena, s/n","Grupo de Trabajo sobre el ""Dolor en las personas con TEA""",30120,El Palmar,Murcia,España,,,,,
5,"40.2969123,-3.4568351",Hospital del Sureste,Hospital,http://www.surestea.org/anticipacion-para-ir-al-hospital/,,"Ronda del Sur, 10","Proyecto de adaptación visual para mejorar la comunicación funiconal con personas con TEA, mediante el uso de pictogramas.",28500,Arganda del Rey,Madrid,España,,,,,
6,"40.2862429,-3.816255",Hospital Universitario de Fuenlabrada,Hospital,http://www.teayudamos.eu/,,"Camino del Molino, 2",TEAyudamos,28942,Fuenlabrada,Madrid,España,,,,,
7,"41.6354811,-0.9003394",Hospital Universitario Miguel Servet,Hospital,https://pictopartos.es/,,"Paseo Isabel la Católica, 1-3",PictoPartos,50009,Zaragoza,Zaragoza,España,,,,,
8,"40.3677879,-3.5501812",SuresTEA,Hospital,http://www.surestea.org/anticipacion-para-ir-al-hospital/,,Avenida del deporte s/n,"Proyecto de adaptación visual para mejorar la comunicación funiconal con personas con TEA, mediante el uso de pictogramas.",28523,Rivas Vaciamadrid,Madrid,España,,,,,
9,"38.5050689,-0.2328866",Ajuntament de la Vila Joiosa,Museo,http://www.villajoyosa.com/pdf/default.php?item=6928,,"Carrer Major, 14","Adaptación de paneles en lugares clave del patrimonio histórico de la ciudad, incorporando la lectura fácil y pictogramas para completar su accesibilidad intelectual.",3570,La Vila Joiosa,Alicante,España,,,,,
10,"60.18790199999999,24.9267459",Museo del Deporte de Finlandia – Suomen Urheilumuseo,Museo,,,"Olympiastadion, Paavo Nurmen tie 1",Adaptación de un tablero de comunicación con pictogramas de ARASAAC y fotografías,250,Helsinki,,Finland,,,,,
11,"60.4729187,26.9452921",Museo Marítimo de Finlandia – Suomen merimuseo,Museo,,,Tornatorintie 99,Adaptación de un tablero de comunicación con pictogramas de ARASAAC y fotografías,48100,Kotka,,Finland,,,,,
12,"66.5075699,25.7248034",Museo Provincial de Laponia – Lapin maakuntamuseo,Museo,,,Pohjoisranta 4,Adaptación de un tablero de comunicación con pictogramas de ARASAAC y fotografías,96200,Rovaniemi,,Finland,,,,,
